Unidades;Volume
1.00;18.50
2.00;22.80
3.00;15.80
4.00;9.80
5.00;23.50
6.00;20.70
7.00;28.30
8.00;6.90
9.00;28.70
10.00;26.40
11.00;7.60
12.00;10.30
13.00;21.10
14.00;26.30
15.00;39.90
16.00;12.70
17.00;11.50
18.00;11.00
19.00;18.90
20.00;31.40
21.00;9.60
22.00;9.80
23.00;7.10
24.00;25.90
25.00;25.70
26.00;24.20
27.00;19.00
28.00;25.90
29.00;37.70
30.00;23.30
31.00;24.60
32.00;32.30
33.00;23.40
34.00;17.10
35.00;8.90
36.00;32.70
37.00;8.10
38.00;29.20
39.00;24.70
40.00;25.60
41.00;13.20
42.00;25.70
43.00;27.00
44.00;20.40
45.00;13.60
46.00;32.40
47.00;31.30
48.00;34.60
49.00;9.50
50.00;18.70
51.00;28.90
52.00;21.60
53.00;8.30
54.00;23.20
55.00;26.60
56.00;25.60
57.00;8.00
58.00;22.10
59.00;21.90
60.00;23.30
61.00;9.90
62.00;30.70
63.00;29.20
64.00;28.00
65.00;13.70
66.00;27.60
67.00;37.90
68.00;27.30
69.00;28.00
70.00;30.70
