UA,SU,DOMINIO,v,bio,carbono
PR_127,1,Floresta Estacional Semidecidual,,,
PR_127,2,Floresta Estacional Semidecidual,,,
PR_127,3,Floresta Estacional Semidecidual,5.269769212259142,766.005233861538,375.3425645921536
PR_127,4,Floresta Estacional Semidecidual,,,
PR_128,1,Floresta Estacional Semidecidual,,,
PR_128,2,Floresta Estacional Semidecidual,3.975041306866078,1217.0518529176427,596.3554079296451
PR_128,3,Floresta Estacional Semidecidual,1.1442556895763316,386.1525763639076,189.21476241831468
PR_128,4,Floresta Estacional Semidecidual,13.92524101745249,4866.2582750373995,2384.466554768325
PR_148,1,Floresta Estacional Semidecidual,,,
PR_148,2,Floresta Estacional Semidecidual,,,
PR_148,3,Floresta Estacional Semidecidual,,,
PR_148,4,Floresta Estacional Semidecidual,,,
PR_151,1,Floresta Ombrófila Mista,7.262129335490002,3460.55967,1695.6742382999998
PR_151,2,Floresta Ombrófila Mista,,,
PR_151,3,Floresta Ombrófila Mista,,,
PR_151,4,Floresta Ombrófila Mista,,,
PR_152,1,Floresta Estacional Semidecidual,,,
PR_152,2,Floresta Estacional Semidecidual,,,
PR_152,3,Floresta Estacional Semidecidual,,,
PR_152,4,Floresta Estacional Semidecidual,,,
PR_153,1,Floresta Estacional Semidecidual,,,
PR_153,2,Floresta Estacional Semidecidual,,,
PR_153,3,Floresta Estacional Semidecidual,,,
PR_153,4,Floresta Estacional Semidecidual,,,
PR_174,1,Floresta Estacional Semidecidual,,,
PR_174,2,Floresta Estacional Semidecidual,,,
PR_174,3,Floresta Estacional Semidecidual,,,
PR_174,4,Floresta Estacional Semidecidual,,,
PR_175,1,Floresta Ombrófila Mista,,,
PR_175,2,Floresta Ombrófila Mista,18.896301427834317,6601.677815999999,3234.8221298399994
PR_175,3,Floresta Ombrófila Mista,,,
PR_175,4,Floresta Ombrófila Mista,,,
PR_176,1,Floresta Ombrófila Mista,,,
PR_176,2,Floresta Ombrófila Mista,,,
PR_176,3,Floresta Ombrófila Mista,,,
PR_176,4,Floresta Ombrófila Mista,,,
PR_177,1,Floresta Ombrófila Mista,15.28890161487499,8502.57185,4166.260206499999
PR_177,2,Floresta Ombrófila Mista,,,
PR_177,3,Floresta Ombrófila Mista,,,
PR_177,4,Floresta Ombrófila Mista,,,
PR_178,1,Floresta Ombrófila Mista,,,
PR_178,2,Floresta Ombrófila Mista,,,
PR_178,3,Floresta Ombrófila Mista,,,
PR_178,4,Floresta Ombrófila Mista,,,
PR_179,1,Floresta Ombrófila Mista,,,
PR_179,2,Floresta Ombrófila Mista,,,
PR_179,3,Floresta Ombrófila Mista,,,
PR_179,4,Floresta Ombrófila Mista,,,
PR_200,1,Floresta Estacional Semidecidual,,,
PR_200,2,Floresta Estacional Semidecidual,,,
PR_200,3,Floresta Estacional Semidecidual,,,
PR_200,4,Floresta Estacional Semidecidual,,,
PR_201,1,Floresta Estacional Semidecidual,4.355941667624695,1452.273813508689,711.6141686192574
PR_201,2,Floresta Estacional Semidecidual,10.552142215020554,3217.67679656418,1576.6616303164487
PR_201,3,Floresta Estacional Semidecidual,,,
PR_201,4,Floresta Estacional Semidecidual,,,
PR_202,1,Floresta Estacional Semidecidual,,,
PR_202,2,Floresta Estacional Semidecidual,,,
PR_202,3,Floresta Estacional Semidecidual,,,
PR_202,4,Floresta Estacional Semidecidual,,,
PR_204,1,Floresta Ombrófila Mista,,,
PR_204,2,Floresta Ombrófila Mista,,,
PR_204,3,Floresta Ombrófila Mista,,,
PR_204,4,Floresta Ombrófila Mista,,,
PR_205,1,Floresta Ombrófila Mista,,,
PR_205,2,Floresta Ombrófila Mista,,,
PR_205,3,Floresta Ombrófila Mista,,,
PR_205,4,Floresta Ombrófila Mista,,,
PR_206,1,Floresta Ombrófila Mista,1.3550706201388487,615.196522,301.44629577999996
PR_206,2,Floresta Ombrófila Mista,1.5561316375312182,1055.21626,517.0559673999999
PR_206,3,Floresta Ombrófila Mista,,,
PR_206,4,Floresta Ombrófila Mista,,,
PR_207,1,Floresta Estacional Semidecidual,7.141027628117633,2910.0929281082813,1425.945534773058
PR_207,2,Floresta Estacional Semidecidual,2.1561000979201506,741.3647747623569,363.26873963355473
PR_207,3,Floresta Estacional Semidecidual,0.050533062303860635,15.286319675745847,7.4902966411154654
PR_207,4,Floresta Estacional Semidecidual,11.24013026975121,4507.1556858178565,2208.5062860507496
PR_229,1,Floresta Ombrófila Mista,5.988138800099544,2744.7823020000005,1344.94332798
PR_229,2,Floresta Ombrófila Mista,4.105199664971044,1776.3625060000002,870.4176279399998
PR_229,3,Floresta Ombrófila Mista,,,
PR_229,4,Floresta Ombrófila Mista,11.908486010107879,9282.748914000002,4548.546967859999
PR_231,1,Floresta Ombrófila Mista,2.7808104425361986,1630.7495999999996,799.0673039999999
PR_231,2,Floresta Ombrófila Mista,19.37244002563764,10024.044829999999,4911.7819667
PR_231,3,Floresta Ombrófila Mista,21.22413365556121,9980.620210000001,4890.503902899999
PR_231,4,Floresta Ombrófila Mista,,,
PR_232,1,Floresta Ombrófila Mista,,,
PR_232,2,Floresta Ombrófila Mista,,,
PR_232,3,Floresta Ombrófila Mista,,,
PR_232,4,Floresta Ombrófila Mista,,,
PR_233,1,Floresta Ombrófila Mista,,,
PR_233,2,Floresta Ombrófila Mista,,,
PR_233,3,Floresta Ombrófila Mista,,,
PR_233,4,Floresta Ombrófila Mista,0.08488273972225904,39.842749999999995,19.522947499999997
PR_234,1,Floresta Ombrófila Mista,,,
PR_234,2,Floresta Ombrófila Mista,,,
PR_234,3,Floresta Ombrófila Mista,17.640341078121192,9963.755391999994,4882.24014208
PR_234,4,Floresta Ombrófila Mista,0.28951806662617535,189.40552000000002,92.80870480000002
PR_258,1,Floresta Estacional Semidecidual,0.3740017351123117,98.9448719840108,48.482987272165296
PR_258,2,Floresta Estacional Semidecidual,,,
PR_258,3,Floresta Estacional Semidecidual,,,
PR_258,4,Floresta Estacional Semidecidual,,,
PR_259,1,Floresta Ombrófila Mista,,,
PR_259,2,Floresta Ombrófila Mista,,,
PR_259,3,Floresta Ombrófila Mista,,,
PR_259,4,Floresta Ombrófila Mista,,,
PR_260,1,Floresta Ombrófila Mista,,,
PR_260,2,Floresta Ombrófila Mista,,,
PR_260,3,Floresta Ombrófila Mista,,,
PR_260,4,Floresta Ombrófila Mista,,,
PR_261,1,Floresta Ombrófila Mista,0.6263756670759494,343.27675,168.20560749999999
PR_261,2,Floresta Ombrófila Mista,,,
PR_261,3,Floresta Ombrófila Mista,0.6654551541531858,357.008096,174.93396704000003
PR_261,4,Floresta Ombrófila Mista,,,
PR_262,1,Floresta Ombrófila Mista,,,
PR_262,2,Floresta Ombrófila Mista,,,
PR_262,3,Floresta Ombrófila Mista,2.876559711755404,1389.6179659999996,680.9128033400001
PR_262,4,Floresta Ombrófila Mista,,,
PR_263,1,Floresta Ombrófila Mista,7.208719297461994,3841.6786939999997,1882.4225600599998
PR_263,2,Floresta Ombrófila Mista,10.693951157788831,5126.66144,2512.0641056
PR_263,3,Floresta Ombrófila Mista,5.511344624089464,3177.2900100000006,1556.8721048999998
